Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
160333,2016,01/18/2017,Hamden,208 ANN'S FARM RD,142380.0,180000.0,0.791,Single Family,Single Family,,,,
19149,2019,09/10/2020,Lebanon,260 GEER RD,216730.0,325400.0,0.666,Single Family,Single Family,,,,
160636,2016,08/24/2017,Torrington,684 BRANDY HILL RD,237320.0,383400.0,0.618988002,Single Family,Single Family,14 - Foreclosure,,,POINT (-73.16826 41.84923)
130430,2013,03/27/2014,Danbury,169 SOUTH ST,113000.0,90000.0,1.255555556,Two Family,Two Family,,I16165,,
161436,2016,09/07/2017,Norwalk,505 WESTPORT AVE LOT 18,0.0,4200.0,0.0,Single Family,Single Family,25 - Other,MOBILE HOME - NWLK ASSESSES ON PP GL,,
100363,2010,06/01/2011,Meriden,10 SUZY CT,254710.0,319000.0,0.79846395,Single Family,Single Family,,,,
2100472,2021,06/03/2022,New Milford,2 SANDPIPER LN,279690.0,479900.0,0.5828,Residential,Single Family,01 - Family,FAMILY TRANSFER,,POINT (-73.398781993 41.55339798)
70241,2007,02/27/2008,Groton,8 FRONT ST,2099440.0,1525000.0,1.376681967,Single Family,Single Family,08 - Part Interest,,,
40033,2004,01/13/2005,East Granby,42 CHELSEA LN,85700.0,156900.0,0.546207776,,,,,,
171538,2017,08/03/2018,Milford,156 ROBERT TREAT PKWY,169600.0,272500.0,0.6223,Single Family,Single Family,,,,POINT (-73.06577 41.21182)
51078,2005,02/17/2006,Waterbury,366 SCHRAFFTS DR &,111090.0,396000.0,0.280530303,,,25,,,
130385,2013,04/11/2014,New Britain,161 SOUTH MAIN ST,3156370.0,5764000.0,0.547600625,,,,,,
13057,2013,01/23/2014,Mansfield,668 MIDDLE TPKE,184940.0,81000.0,2.283209877,Single Family,Single Family,08 - Part Interest,1/3 INTEREST IN PROPERTY,,
81289,2008,09/25/2009,Waterbury,3821 EAST MAIN ST,282090.0,150000.0,1.8806,,,25 - Other,BELOW MARKET,,
90392,2009,03/18/2010,Norwalk,6 HARBOR AVE,175770.0,235000.0,0.747957447,Single Family,Single Family,14 - Foreclosure,,,
150032,2015,04/27/2016,Sharon,50 HOPPERFIELDS DR,273300.0,332500.0,0.821954887,Single Family,Single Family,,,,
10222,2010,06/17/2011,South Windsor,2-3 FONCINE LANE,146940.0,190000.0,0.773368421,Condo,Condo,,,,
41731,2004,08/15/2005,Hartford,111 WILSON ST,9450.0,32000.0,0.2953125,,,,,,POINT (-72.69913 41.74928)
8112,2008,01/22/2009,East Haven,120 JOHN ST,171940.0,120000.0,1.432833333,Two Family,Two Family,25 - Other,RATIO TOO LOW,,POINT (-72.86351 41.3189)
41653,2004,04/28/2005,Southington,34 MANOR RD,90160.0,227000.0,0.397180617,,,,,,
218178,2021,05/20/2022,Middletown,85 LORELEI CIRCLE,170410.0,340000.0,0.5012,Residential,Single Family,,,,POINT (-72.660411006 41.538420986)
30891,2003,02/02/2004,Stamford,126 MYRTLE AVE 7,72450.0,10000.0,7.245,,,8.0,,,
30640,2003,06/04/2004,Fairfield,2897 CONGRESS ST,946400.0,1565000.0,0.604728435,,,,,,
160144,2016,04/10/2017,Clinton,186 GLENWOOD RD,124100.0,150000.0,0.827333333,Single Family,Single Family,14 - Foreclosure,FROM FHLMC,,POINT (-72.52363 41.30892)
1800697,2018,07/26/2019,East Haven,583 THOMPSON AVE,211090.0,175000.0,1.206228571,Single Family,Single Family,16 - Charitable Group,CHANGE FROM RECTORY TO RESIDENTIAL,,
32650,2003,09/03/2004,Waterbury,74 KNOLL ST,80080.0,135000.0,0.593185185,,,,,,
50057,2005,01/30/2006,Lebanon,93 CLUBHOUSE RD,132570.0,278000.0,0.476870504,,,,,,
140046,2014,11/12/2014,Simsbury,8 ARDSLEY WAY,442570.0,670000.0,0.660552239,Single Family,Single Family,,,,POINT (-72.85836 41.82784)
30528,2003,02/12/2004,Bristol,30 LINCOLN PL,63490.0,150000.0,0.423266667,,,,,,
220536,2022,05/25/2023,West Hartford,130 HYDE ROAD,302610.0,469000.0,0.6452,Residential,Single Family,25 - Other,SOLD AS IS,,POINT (-72.759802021 41.795329001)
10486,2001,04/29/2002,Norwich,150 YANTIC ST UT 218,27900.0,44500.0,0.626966292,,,,,,POINT (-72.08547 41.53407)
40179,2004,10/28/2004,New Haven,55 NASH ST,114380.0,330000.0,0.346606061,,,,,,
2020035,2020,10/27/2020,Ansonia,5 REMER ST,128500.0,124000.0,1.0362,Residential,Single Family,25 - Other,LOW SALE,,
20413,2020,08/13/2021,Monroe,132 GUINEA RD,383200.0,650000.0,0.5895,Residential,Single Family,,,,
50309,2005,08/31/2006,Canton,50 E HL RD UT 7F,74210.0,154000.0,0.481883117,,,,,,
110920,2011,07/02/2012,Waterbury,27 IVES ST,31960.0,24000.0,1.331666667,Single Family,Single Family,,,,
90099,2009,12/08/2009,Naugatuck,1299 NEW HAVEN RD,139950.0,175000.0,0.799714286,Single Family,Single Family,,,,
60040,2006,10/24/2006,Southington,167 BERLIN ST,113470.0,180000.0,0.630388889,Single Family,Single Family,,,,
190185,2019,02/03/2020,Trumbull,410 TASHUA RD,273910.0,350000.0,0.7826,Single Family,Single Family,,,,
220856,2022,08/17/2023,New Haven,660 RUSSELL ST,78260.0,220000.0,0.3557,Residential,Single Family,,,,POINT (-72.875642019 41.309681992)
30006,2003,10/06/2003,Hebron,23 VILLAGE LN,128270.0,250000.0,0.51308,,,,,,
20567,2002,02/07/2003,Hartford,15-17 GREENFIELD ST,36890.0,195000.0,0.189179487,,,,,,POINT (-72.68453 41.78322)
60010,2006,10/05/2006,Bloomfield,7 WOODSIDE DR,75690.0,163000.0,0.464355828,Single Family,Single Family,,,,
190233,2019,12/11/2019,New Haven,140 EXCHANGE ST,93940.0,250000.0,0.3758,Two Family,Two Family,,,,
30225,2003,11/24/2003,West Hartford,70 FULLER DR,99800.0,245000.0,0.407346939,,,,,,
20548,2002,06/25/2003,Groton,27 WATERHOUSE LN,54600.0,299900.0,0.182060687,,,7,,,POINT (-71.98195 41.37622)
141644,2014,09/09/2015,Bridgeport,1282 PARK AVENUE,158660.0,250000.0,0.63464,Three Family,Three Family,,,,
80404,2008,08/21/2009,Greenwich,"100 MEAD AVENUE, GRW,CT",546910.0,545000.0,1.003504587,Single Family,Single Family,,04-1516/s,,
51949,2005,09/22/2006,Norwalk,1 SUNWICH RD,759430.0,1225000.0,0.619942857,,,,,,
110195,2011,05/23/2012,Waterford,54 ROPE FERRY RD #B21,189150.0,215000.0,0.879767442,Condo,Condo,,inc 2 garages; condo 173750;G12 7700;G13 7700,,
40079,2004,01/14/2005,Lebanon,6 BEAUMONT HWY,96310.0,165000.0,0.58369697,,,,,,
30436,2003,06/01/2004,Farmington,42 MOUNTAIN RD,356910.0,480000.0,0.7435625,,,,,,
60662,2006,05/10/2007,Greenwich,151 E ELM ST,595210.0,1100000.0,0.5411,Single Family,Single Family,,,,
60328,2006,07/25/2007,New Canaan,224 WHITE OAK SHADE RD,1366800.0,2700000.0,0.506222222,Single Family,Single Family,,,,
131372,2013,09/30/2014,Waterbury,767 FROST RD,72750.0,124900.0,0.582465973,Single Family,Single Family,,,,
160456,2016,04/17/2017,Bristol,8 ROOT AVE,100170.0,87000.0,1.15137931,Single Family,Single Family,14 - Foreclosure,FORECLOSURE SALE INTO BANK'S NAME,,
80032,2008,01/02/2009,Woodstock,1115 RT 169,297300.0,337262.0,0.881510517,Single Family,Single Family,14 - Foreclosure,FORECLOSURE BANK BOUGHT IF BACK,,
41930,2004,07/22/2005,Southington,137 LAWNCREST DR,82460.0,219900.0,0.374988631,,,,,,POINT (-72.87725 41.58055)
10583,2001,02/20/2002,Bristol,23A RITA DR,59050.0,128000.0,0.461328125,,,,,,
180971,2018,04/24/2019,Milford,695 EAST BROADWAY,277830.0,475000.0,0.5849,,,,HOUSE DEMOLISHED DUE TO SSS,,
30100,2003,06/29/2004,Deep River,35 PROSPECT ST,90860.0,160625.0,0.56566537,,,1.0,,,
21190,2021,08/16/2022,Burlington,369 JEROME AVE,207970.0,200000.0,1.0398,Residential,Single Family,01 - Family,SOLD TO DAUGHTER,,POINT (-72.929632958 41.730969018)
60072,2006,12/04/2006,East Hampton,HOG HL RD LT Q3 M 7,46280.0,85000.0,0.544470588,,,,,,
10072,2001,12/18/2001,Ansonia,33 CORTLAND PL UT 33,58100.0,130000.0,0.446923077,,,,,,
50030,2005,01/09/2006,Woodbridge,140 FORD RD,218960.0,15000.0,14.59733333,,,1,,,
70086,2007,07/15/2008,Weston,51 GLENWOOD RD,489650.0,765000.0,0.640065359,Single Family,Single Family,,,,
50001,2005,10/03/2005,Cornwall,SCOVILLE RD,43790.0,25000.0,1.7516,,,8,,,
170627,2017,06/06/2018,Meriden,120 GREEN RD,109060.0,127750.0,0.8536,Single Family,Single Family,,,,
21377,2002,05/05/2003,Stamford,41 ROCK SPG RD 2,95620.0,251000.0,0.380956175,,,,,,
50182,2005,12/30/2005,Groton,15 CROWN KNL CT 44,57050.0,165000.0,0.345757576,,,,,,
15761,2015,08/01/2016,Milford,31 REED ST,276120.0,325000.0,0.8496,Single Family,Single Family,,,,
190058,2019,10/25/2019,Groton,101 HYNES AVE,225470.0,210000.0,1.0737,Four Family,Four Family,,,,
40430,2004,05/27/2005,Newington,55 WAVERLY DR,49350.0,140000.0,0.3525,,,,,,
70102,2007,01/28/2008,Avon,26 CRAIGEMORE CIR,192490.0,330000.0,0.58330303,Single Family,Single Family,,,,
10219,2001,04/02/2002,Cromwell,12 PINE CT,37530.0,101450.0,0.369935929,,,,,,
80338,2008,04/02/2009,New Britain,156 PIERREMOUNT AVE,78330.0,102579.0,0.763606586,Condo,Condo,,,,
40615,2004,09/30/2005,Ridgefield,5 ORANGE LN,114360.0,214500.0,0.533146853,,,,,,
50560,2005,05/01/2006,Middletown,129 HIGHLAND AVE,117240.0,222500.0,0.526921348,,,,,,
39054,2003,07/18/2004,Lisbon,25 CLUB HOUSE RD,76720.0,80000.0,0.959,,,,,,
100595,2010,03/31/2011,Waterbury,16 LONGMEADOW DR,100200.0,90000.0,1.113333333,Single Family,Single Family,25 - Other,short sale,,
130044,2013,10/17/2013,Greenwich,65 ROCKWOOD LANE,1692460.0,2085000.0,0.811731415,Single Family,Single Family,,,,
181224,2018,09/09/2019,Danbury,190 FRANKLIN ST EXT,228600.0,300000.0,0.762,Single Family,Single Family,,F12083,,
40152,2004,04/18/2005,Woodbury,28 DAVIDS HL RD,256040.0,450000.0,0.568977778,,,,,,
40107,2004,10/29/2004,West Hartford,42 HYDE RD,136770.0,325000.0,0.420830769,,,,,,
201210,2020,03/31/2021,New London,11 MOTT AVE,242760.0,527500.0,0.4602,Residential,Single Family,,,,POINT (-72.09482 41.31073)
150088,2015,12/07/2015,Branford,32A ROCKLEDGE,99000.0,125000.0,0.792,Condo,Condo,25 - Other,LIENS ON PROP/RESTRICTIONS ON GRANTEE FOR SELLING THE UNIT,,
160019,2016,01/30/2017,Easton,27 WINTERGREEN DR,283070.0,390000.0,0.725820513,Single Family,Single Family,,,,
10096,2001,04/01/2002,Somers,80 COLTON RD,114200.0,234050.0,0.48792993,,,,,,
60008,2006,12/28/2006,Chaplin,8 CHAPPELL ST,70900.0,165000.0,0.42969697,Single Family,Single Family,,,,
150103,2015,11/30/2015,Glastonbury,67 NICOLE DR,365200.0,540000.0,0.676296296,Single Family,Single Family,,,,
192431,2019,08/19/2020,Bridgeport,836 FRENCHTOWN RD,156160.0,275000.0,0.5679,Single Family,Single Family,,,,
160170,2016,12/28/2016,West Haven,70 LAMBERT ST,76440.0,56000.0,1.365,Single Family,Single Family,25 - Other,IN ESTATE,,
12090,2012,01/31/2013,Bloomfield,32 PEBBLE BEACH DR,354410.0,525000.0,0.675066667,Single Family,Single Family,,,,
20697,2002,05/12/2003,Manchester,9 A JAMIE LN,3500.0,148900.0,0.023505709,,,7.0,,,
60690,2006,03/14/2007,Norwalk,27 FERRIS AVE,361270.0,649000.0,0.556656394,Two Family,Two Family,,,,POINT (-73.43008 41.10775)
210289,2021,07/06/2022,Windham,40 LYNWOOD DR,87090.0,175000.0,0.4976,Residential,Single Family,,,,POINT (-72.217899995 41.726728991)
20159,2002,01/29/2003,Cheshire,75 S ROLLING ACRES,105690.0,218000.0,0.484816514,,,,,,POINT (-72.90158 41.51343)
60207,2006,07/31/2007,New Fairfield,176 ROUTE 37,249700.0,405000.0,0.61654321,Single Family,Single Family,,,,
51067,2005,08/14/2006,Stratford,84 ROCKLAND AVE,162890.0,263000.0,0.619353612,,,,,,
140123,2014,06/15/2015,Oxford,44 TRAM DR,300200.0,465000.0,0.645591398,Single Family,Single Family,,,,POINT (-73.13004 41.39527)
140655,2014,06/17/2015,Danbury,13 E HAYESTOWN RD,101300.0,100000.0,1.013,Single Family,Single Family,11 - Court Order,I09137 - NOT VALID PER TOWN SITE,,
170395,2017,06/14/2018,Branford,39 SECOND AVE,358400.0,640000.0,0.56,Single Family,Single Family,,,,
20232,2020,12/21/2020,East Hartford,192 HANDEL RD,73780.0,165000.0,0.4471,Residential,Single Family,07 - Change in Property,,,POINT (-72.61847 41.73986)
90189,2009,12/09/2009,Danbury,1002 HANCOCK DR,209000.0,295000.0,0.708474576,Condo,Condo,,K07106-94,,
2001331,2020,04/05/2021,Stamford,0 SOUTHFIELD AVE DOCK # B-21,14700.0,15000.0,0.98,Residential,Condo,,,,POINT (-73.54784 41.03925)
90371,2009,07/01/2010,Torrington,42 ROCKLEDGE LOOP,101660.0,127500.0,0.797333333,Condo,Condo,,,,
16250,2016,08/11/2017,Plainfield,538 NORWICH RD,180910.0,182500.0,0.991287671,Single Family,Single Family,,,,
90116,2009,06/09/2010,Winchester,228 PERCH ROCK TRAIL,318330.0,440000.0,0.723477273,Single Family,Single Family,,,,
180168,2018,05/16/2019,Clinton,59 OLD POST RD #G1,124700.0,163000.0,0.765,Condo,Condo,,,,
161343,2016,08/17/2017,Norwalk,6 DEWAL DR,364360.0,615000.0,0.592455285,Single Family,Single Family,,,,
30334,2003,06/04/2004,East Lyme,81 E PATTAGANSETT 14,47110.0,128900.0,0.365477114,,,,,,POINT (-72.2047 41.32815)
201524,2020,04/30/2021,Waterbury,159 GREENMOUNT TERR,88360.0,159000.0,0.5557,Residential,Two Family,,,,
10248,2001,02/26/2002,Naugatuck,189 HILLSIDE AVE,79900.0,134900.0,0.592290586,,,,,,
170367,2017,06/19/2018,Salem,52 LAKEVIEW AVE,168100.0,224900.0,0.7474,Single Family,Single Family,,,,
180972,2018,08/08/2019,West Hartford,84 BONNY VIEW ROAD,273210.0,440000.0,0.6209,Single Family,Single Family,,,,
31139,2003,08/31/2004,Manchester,573 WOODBRIDGE ST,107000.0,191000.0,0.560209424,,,16.0,,,
30023,2003,10/31/2003,Mansfield,8 HL POND DR,14350.0,27000.0,0.531481481,,,,,,
160096,2016,08/29/2017,Preston,30 ROUTE 2A,151200.0,290000.0,0.52137931,Single Family,Single Family,,30 ROUTE 2A,,
60209,2006,08/15/2007,East Haddam,16 OVERLOOK DR,42560.0,115000.0,0.370086957,Single Family,Single Family,,,,
80141,2008,11/24/2008,New Haven,360 WEST ROCK AV,186410.0,200000.0,0.93205,Single Family,Single Family,10 - A Will,,,
20825,2002,06/20/2003,Manchester,357 S MAIN ST,183300.0,310000.0,0.591290323,,,,,,
21440,2002,09/17/2003,Hartford,530 WETHERSFIELD AVE,345170.0,750000.0,0.460226667,,,,,,POINT (-72.67228 41.74143)
70067,2007,11/02/2007,Hamden,123 RIDGE RD,144130.0,298000.0,0.483657718,Single Family,Single Family,,,,
70078,2007,10/31/2007,Shelton,132 MORNINGSIDE CT,235340.0,348000.0,0.676264368,Condo,Condo,,,,
180422,2018,02/27/2019,Bristol,466 BROAD ST,71670.0,56375.0,1.271308204,Two Family,Two Family,25 - Other,,PER MLS SOLD AS IS - NEEDS UPDATING,
12378,2012,04/19/2013,Fairfield,113 PAUL PLACE,335300.0,981104.0,0.341757856,Single Family,Single Family,07 - Change in Property,,,
60838,2006,02/22/2007,Waterbury,578 COLUMBIA BLVD,91210.0,212300.0,0.429627885,Three Family,Three Family,,,,
200536,2020,03/04/2021,New Haven,250 FOUNTAIN ST,139020.0,322350.0,0.431270358,Residential,Three Family,,,,POINT (-72.96796 41.32721)
180400,2018,07/03/2019,Vernon,96 MONTAUK DR,156360.0,222000.0,0.704324324,Single Family,Single Family,25 - Other,,RELOCATION,
2200265,2022,05/12/2023,East Haven,120 WILLIAM ST,145600.0,330000.0,0.4412,Residential,Single Family,,,,POINT (-72.874284989 41.255406989)
90984,2009,05/24/2010,Bridgeport,270 MERRITT ST,204390.0,166380.0,1.228452939,Two Family,Two Family,14 - Foreclosure,FORECLOSURE,,
10504,2010,06/20/2011,Hartford,27-29 EARLE ST,95998.0,100000.0,0.95998,,,25 - Other,Must be a short sale,,
90904,2009,06/10/2010,Stamford,24 ADAMS AVENUE #5,136430.0,150000.0,0.909533333,Condo,Condo,,,,POINT (-73.5476 41.05654)
41476,2004,07/01/2005,Hartford,34 PULASKI DR,73360.0,113000.0,0.64920354,,,16,,,
2100274,2021,11/02/2021,Stamford,66 LIBERTY STREET,479560.0,700000.0,0.685085714,Apartments,,08 - Part Interest,PARTIAL INTEREST SOLD,,POINT (-73.554349026 41.050497997)
200109,2020,09/13/2021,Kent,80 NORTH MAIN ST U01,109700.0,250000.0,0.4388,Residential,Condo,,,,POINT (-73.47632 41.72573)
70049,2007,12/31/2007,Haddam,42 WILLIAMSBURG RD,75680.0,579900.0,0.13050526,Single Family,Single Family,07 - Change in Property,,,POINT (-72.55106 41.4473)
210087,2021,12/14/2021,Seymour,28 MOSS AVE,231350.0,415000.0,0.5574,Residential,Single Family,,,,POINT (-73.072818999 41.377818986)
150629,2015,06/06/2016,West Hartford,339 NEWINGTON ROAD,163450.0,215000.0,0.760232558,Single Family,Single Family,,,,
200115,2020,10/30/2020,West Hartford,41 TIMBERWOOD ROAD,199430.0,349000.0,0.5714,Residential,Condo,,,,POINT (-72.73081 41.80171)
180895,2018,07/26/2019,Bristol,42 MERRIMAN ST,154700.0,90000.0,1.718888889,Single Family,Single Family,25 - Other,,PER MLS PRICED WELL BELOW APPRAISED VALUE - NEEDS WORK,
50814,2005,12/20/2005,Bridgeport,36 CLINTON AVE,20279.0,33000.0,0.614515152,,,,,,
2200438,2022,12/29/2022,Stamford,111 LAFAYETTE STREET,451340.0,584000.0,0.7728,Residential,Two Family,25 - Other,SHORT SALE,,POINT (-73.526729985 41.057687994)
180572,2018,06/20/2019,Shelton,143 HEATHER RIDGE,91840.0,130000.0,0.7064,Condo,Condo,,,,
100108,2010,11/23/2010,West Hartford,35 PRINCETON STREET,154000.0,219900.0,0.700318327,Single Family,Single Family,,,,
13014,2013,04/29/2014,Ansonia,35 LOCKE STREET,103600.0,102000.0,1.015686275,Single Family,Single Family,14 - Foreclosure,,,
2000244,2020,03/24/2021,Cheshire,24 ST JOSEPH ST,115430.0,175000.0,0.6596,Residential,Single Family,14 - Foreclosure,,,
1500030,2015,05/23/2016,Cornwall,23 JOHNSON RD,572300.0,780000.0,0.733717949,Single Family,Single Family,,,,
147237,2014,07/21/2015,New London,148 MONTAUK AVE,87570.0,145000.0,0.603931034,Three Family,Three Family,,,,
170140,2017,12/27/2017,Branford,5 RUSSELL VILLAGE,52200.0,68000.0,0.767647059,Condo,Condo,,,,
110126,2011,05/25/2012,Clinton,22 OAK RIDGE,158700.0,165000.0,0.961818182,Single Family,Single Family,,Short Sale,,
40406,2004,09/15/2005,Colchester,99 FOX RDG DR,147800.0,360000.0,0.410555556,,,,,,
10930,2001,05/20/2002,Hartford,49-51 PLINY ST,22260.0,20500.0,1.085853659,,,25,,,
14207,2014,07/01/2015,Wilton,82 MIDDLEBROOK FARM,1079400.0,1618750.0,0.666810811,Single Family,Single Family,,,,
221722,2022,09/19/2023,Waterbury,226 COOKE ST,73135.0,300000.0,0.2437,Residential,Three Family,,,,POINT (-73.039593973 41.564231003)
60269,2006,12/07/2006,New Britain,20C DUNLAY ST,46900.0,90000.0,0.521111111,Condo,Condo,,,,
11329,2001,09/13/2002,Hartford,1 GOLD ST UT 7F & 50,30030.0,54000.0,0.556111111,,,,,,POINT (-72.67435 41.76419)
170496,2017,05/31/2018,Southington,1985-29 WEST ST,217590.0,300000.0,0.7253,Condo,Condo,,,,
42425,2004,06/03/2005,Bridgeport,1492 NORTH AVE 204,51985.0,120000.0,0.433208333,,,,,,
120140,2012,06/03/2013,East Hampton,23 WILDWOOD LN,183970.0,280000.0,0.657035714,Single Family,Single Family,25 - Other,RELOCATION SALE,,
60584,2006,08/20/2007,Naugatuck,36 LOCUST ST,95610.0,175000.0,0.546342857,,,,,,
21648,2002,06/12/2003,Stamford,55 FIELDSTONE RD,290360.0,637500.0,0.455466667,,,,,,
130519,2013,06/30/2014,Hamden,945 GAYLORD MT RD,239680.0,327500.0,0.731847328,Single Family,Single Family,,,,
40019,2004,02/22/2005,Colebrook,590 COLEBROOK RD,281700.0,899000.0,0.313348165,,,,,,
170067,2017,01/11/2018,New Fairfield,6 HAMMOND RD,121200.0,97500.0,1.243076923,Single Family,Single Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,,
90068,2009,03/17/2010,Ansonia,5 GARDNERS LANE,180500.0,127500.0,1.415686275,Two Family,Two Family,25 - Other,"PER MLS SOLD ""AS IS"" BANK MAY MAKE SOME REPAIRS MLS SALE PRICE = 110,000",,
160761,2016,03/03/2017,Stamford,72 LITTLE HILL DRIVE,864740.0,925000.0,0.934854054,Single Family,Single Family,07 - Change in Property,,NOT A VALID SALE PER TOWN SITE,POINT (-73.54584 41.0935)
60857,2006,09/28/2007,Wallingford,HARRISON RD,3686130.0,80000.0,46.076625,,,19 - Easement,,,
170049,2017,11/01/2017,Branford,239 DAMASCUS RD,210000.0,317000.0,0.662460568,Single Family,Single Family,,,,
171053,2017,08/14/2018,Naugatuck,314 UNION CITY ROAD,118620.0,170000.0,0.6977,Single Family,Single Family,,ARMS LENGTH SALE,,
210103,2021,06/20/2022,Easton,26 HIGH RIDGE ROAD,600390.0,1300000.0,0.4618,Residential,Single Family,,,,POINT (-73.263217031 41.244547018)
40911,2004,07/13/2005,Norwich,195 DUNHAM ST,57000.0,107000.0,0.53271028,,,,,,
50998,2005,07/20/2006,Milford,93 MARK ST,109410.0,420000.0,0.2605,,,,,,
110053,2011,05/31/2012,Brooklyn,163 DARBY RD,114300.0,175000.0,0.653142857,Single Family,Single Family,,,,POINT (-71.92606 41.82077)
15152,2015,04/25/2016,Watertown,0 PINERIDGE DR EXT,63300.0,65000.0,0.973846154,,,03 - Inter Corporation,,,
200394,2020,01/07/2021,West Hartford,159 SIDNEY AVENUE,131460.0,225000.0,0.5842,Residential,Single Family,,,,
18077,2018,10/31/2018,Hartford,119 FREEMAN ST,75320.0,275000.0,0.2738,Two Family,Two Family,,,,
170049,2017,11/20/2017,Rocky Hill,71B BROOKWOOD DRIVE,77980.0,115000.0,0.678086957,Condo,Condo,,,,
40291,2004,12/13/2004,West Hartford,167 SIDNEY AVE,78420.0,212000.0,0.36990566,,,,,,
200115,2020,06/08/2021,New Hartford,17 HENDERSON ROAD,250320.0,445000.0,0.562516854,Residential,Single Family,,,,POINT (-72.98856 41.85969)
80159,2008,07/15/2009,Colchester,407 STAGECOACH ROW,142300.0,195000.0,0.72974359,Single Family,Single Family,,,,POINT (-72.32165 41.58128)
190146,2019,11/13/2019,Southington,133 LOPER ST,228390.0,332000.0,0.6879,Single Family,Single Family,,,,
190253,2019,05/05/2020,Simsbury,112 FIRETOWN ROAD,196510.0,335000.0,0.586597015,Single Family,Single Family,07 - Change in Property,,,POINT (-72.81625 41.8795)
41039,2004,09/13/2005,Wallingford,175 MANSION RD,115300.0,28000.0,4.117857143,,,8,,,
15713,2015,08/22/2016,Hartford,34 CANTERBURY ST,81073.0,222500.0,0.364373034,Single Family,Single Family,,,,
18159,2018,04/11/2019,North Haven,116 SUMMER LN,344610.0,510000.0,0.6757,Single Family,Single Family,,,,
30495,2003,02/03/2004,New Britain,280 B BRITTANY FARMS,68390.0,97000.0,0.705051546,,,,,,
1564,2015,09/19/2016,Chester,82 GOOSE HILL RD,422810.0,560000.0,0.755017857,Single Family,Single Family,,,,POINT (-72.45332 41.42002)
159310,2015,08/31/2016,Bloomfield,12 HARVEST LN,190610.0,299900.0,0.635578526,Single Family,Single Family,,,,
2100325,2021,03/24/2022,Naugatuck,38 WARREN AVE,131620.0,287500.0,0.4578,Residential,Single Family,,,,POINT (-73.038114986 41.472871989)
11091,2011,06/21/2012,Burlington,11 OLD FIELD RD,115220.0,110000.0,1.047454545,,,,,,
190144,2019,11/25/2019,Hamden,1204 WHITNEY AVE U104,43610.0,96000.0,0.4543,Condo,Condo,,,,
220823,2022,06/14/2023,Norwalk,19 SPRUCE STREET,212580.0,166500.0,1.2767,Residential,Single Family,08 - Part Interest,,,POINT (-73.426198025 41.114697005)
170024,2017,11/20/2017,Portland,12 ROGERS RD,136010.0,236500.0,0.575,Single Family,Single Family,,057-0184,,
170679,2017,05/30/2018,Stratford,1574 NORTH AVE,167930.0,255000.0,0.6585,Single Family,Single Family,,,,
22018,2022,12/12/2022,North Stonington,742 PENDLETON HL,161210.0,330000.0,0.4885,Residential,Single Family,,,,POINT (-71.833226966 41.500965991)
16226,2016,04/27/2017,Ridgefield,43 PROSPECT ST UNIT 5,251030.0,245000.0,1.024612245,Condo,Condo,10 - A Will,,,
191103,2019,08/12/2020,Norwalk,57 LOCKWOOD LN,269470.0,436000.0,0.6181,Single Family,Single Family,,5-5-230-0,,
30703,2003,06/04/2004,East Hartford,12 CHANDLER ST,47560.0,119900.0,0.396663887,,,,,,
50107,2005,06/27/2006,Killingworth,13 COUGHLIN RD,260130.0,486000.0,0.535246914,,,,,,
150585,2015,08/09/2016,Glastonbury,265 NATCHAUG DR,238700.0,334000.0,0.714670659,Single Family,Single Family,,,,
150088,2015,12/31/2015,Bethel,420 COPPER SQUARE DRIVE,103180.0,314475.0,0.328102393,Condo,Condo,07 - Change in Property,,,
2101730,2021,06/17/2022,Stamford,1872 NEWFIELD AVENUE,388740.0,910000.0,0.4271,Residential,Single Family,,,,POINT (-73.53382602 41.122381995)
40123,2004,12/28/2004,Guilford,291 DROMARA RD,242730.0,444000.0,0.546689189,,,,,,POINT (-72.72037 41.27047)
210254,2021,09/06/2022,Rocky Hill,46 ANDOVER DRIVE,368690.0,730000.0,0.505,Residential,Single Family,,,,POINT (-72.713437021 41.650802987)
190926,2019,04/07/2020,Waterbury,84 RIDGEFIELD AVE,67260.0,57500.0,1.1697,Single Family,Single Family,26 - Rehabilitation Deferred,,,
30404,2003,05/05/2004,East Haven,101 HIGH ST,108860.0,184400.0,0.590347072,,,13.0,,,
140453,2014,12/31/2014,Bridgeport,1210 LAUREL AVENUE,227640.0,145000.0,1.569931034,Single Family,Single Family,25 - Other,BELOW MARKET VALUE,,
20089,2002,07/08/2003,Sherman,4 WANZER HL RD,122850.0,225000.0,0.546,,,,,,
190307,2019,07/28/2020,New Canaan,34 MARSHALL RIDGE RD,997570.0,1520000.0,0.6563,Single Family,Single Family,,,,
30044,2003,12/19/2003,Thomaston,38-40 HIGH ST,89030.0,80000.0,1.112875,,,8.0,,,POINT (-73.07428 41.67383)
20243,2002,11/01/2002,Stamford,87 GLENBROOK RD 8G,50820.0,153000.0,0.332156863,,,,,,
50199,2005,04/24/2006,Cromwell,6 PINE CT,78580.0,163900.0,0.479438682,,,,,,
20018,2002,10/21/2002,Ledyard,13 CARTRIDGE TRL,82180.0,164900.0,0.498362644,,,,,,
